Genome name	BioSample	Dataset	Run(s) accession number(s)	Year of sampling	Clade (only for Lee 2015)
G05540	SAMEA3231540	Eldholm 2015	ERR757167	1996	
G10655	SAMEA3231524	Eldholm 2015	ERR757145	2001	
G10656	SAMEA3231525	Eldholm 2015	ERR757146	2001	
G10658	SAMEA3231527	Eldholm 2015	ERR757148	2000	
G10659	SAMEA3231528	Eldholm 2015	ERR757149	2000	
G10660	SAMEA3231529	Eldholm 2015	ERR757150	2000	
G10661	SAMEA3231530	Eldholm 2015	ERR757151	2001	
G10662	SAMEA3231534	Eldholm 2015	ERR757152	2000	
G10663	SAMEA3231531	Eldholm 2015	ERR757159	2000	
G10664	SAMEA3231532	Eldholm 2015	ERR757160	1998	
G10665	SAMEA3231533	Eldholm 2015	ERR757161	2000	
G10666	SAMEA3231535	Eldholm 2015	ERR757162	2001	
G10667	SAMEA3231536	Eldholm 2015	ERR757163	2001	
G10668	SAMEA3231537	Eldholm 2015	ERR757164	2001	
G10669	SAMEA3231538	Eldholm 2015	ERR757165	2001	
G10671	SAMEA3231541	Eldholm 2015	ERR757168	2001	
G10672	SAMEA3231542	Eldholm 2015	ERR757169	2001	
G10673	SAMEA3231543	Eldholm 2015	ERR757170	2001	
G10674	SAMEA3231544	Eldholm 2015	ERR757171	2001	
G10675	SAMEA3231545	Eldholm 2015	ERR757172	2001	
G10676	SAMEA3231546	Eldholm 2015	ERR757173	2001	
G10677	SAMEA3231547	Eldholm 2015	ERR757174	2001	
G10678	SAMEA3231548	Eldholm 2015	ERR757175	2001	
G10679	SAMEA3231549	Eldholm 2015	ERR757176	2001	
G10680	SAMEA3231550	Eldholm 2015	ERR757177	2001	
G10681	SAMEA3231551	Eldholm 2015	ERR757178	2001	
G10682	SAMEA3231552	Eldholm 2015	ERR757179	2001	
G10683	SAMEA3231553	Eldholm 2015	ERR757180	2001	
G10684	SAMEA3231554	Eldholm 2015	ERR757181	2001	
G10685	SAMEA3231555	Eldholm 2015	ERR757182	2001	
G10686	SAMEA3231556	Eldholm 2015	ERR757183	2001	
G10687	SAMEA3231557	Eldholm 2015	ERR757184	2001	
G10688	SAMEA3231558	Eldholm 2015	ERR757185	2001	
G10689	SAMEA3231559	Eldholm 2015	ERR757186	2001	
G10690	SAMEA3231560	Eldholm 2015	ERR757187	2001	
G10691	SAMEA3231561	Eldholm 2015	ERR757188	2001	
G10692	SAMEA3231562	Eldholm 2015	ERR757189	2001	
G10693	SAMEA3231528	Eldholm 2015	ERR758379		
G10694	SAMEA3231642	Eldholm 2015	ERR760595	2005	
G10695	SAMEA3231643	Eldholm 2015	ERR760596	2004	
G10696	SAMEA3231644	Eldholm 2015	ERR760597	2005	
G10697	SAMEA3231645	Eldholm 2015	ERR760598	2005	
G10698	SAMEA3231646	Eldholm 2015	ERR760599	2005	
G10699	SAMEA3231647	Eldholm 2015	ERR760600	2004	
G10700	SAMEA3231648	Eldholm 2015	ERR760601	2004	
G10701	SAMEA3231649	Eldholm 2015	ERR760602	2004	
G10702	SAMEA3231650	Eldholm 2015	ERR760603	2005	
G10703	SAMEA3231651	Eldholm 2015	ERR760604	2004	
G10704	SAMEA3231652	Eldholm 2015	ERR760605	2003	
G10705	SAMEA3231654	Eldholm 2015	ERR760607	2004	
G10706	SAMEA3231655	Eldholm 2015	ERR760608	2005	
G10707	SAMEA3231656	Eldholm 2015	ERR760609	2005	
G10708	SAMEA3231657	Eldholm 2015	ERR760610	2005	
G10709	SAMEA3231658	Eldholm 2015	ERR760611	2005	
